"Luxesierbeslag","Luxesierbeslag-Titel","Sku","_type"
"\3.86","Axa titan scharnier 89x89x3 RH TC los","1161200","dict"
"\4.09","Axa titan scharnier 89x89x3 RHVH  TC los ***","1161220","dict"
"102.12","Digitale deurspion silverline 3,2tft","1245029","dict"
"31.91","Axaflex security zwart 2660-20-56E","1304820","dict"
"16.87","Briefplaat Axa, met naamplaat en veermechanisme, kleur zwart, afmeting 350x74mm","1304860","dict"
"16.86","Habiles uitzetijzer roestvaststaal OH 2635-32-82","1305019","dict"
"25.58","Axaflex met.raam roestvaststaal2642-30-82","1305029","dict"
"23.70","Axaflex roestvaststaal/wit 2647-10-74E","1305036","dict"
"25.45","Axaflex/smal.koz 20mm/zwart/roestvaststaal","1305091","dict"
"31.91","Axaflex security roestvaststaal/wit 2660-20-75","1305101","dict"
"31.29","Axaflex security roestvaststaal/zw.2660-20-82","1305105","dict"
"\9.49","Axafix  uitzetijzer  roestvaststaal   2488-50-82","1305106","dict"
"12.92","Axafix  uitzetijzer  roestvaststaal   2488-10-82","1305113","dict"
"71.41","Axa vh combi raamsluiting Oyster rs","1305272","dict"
"71.41","Axa vh combi raamsluiting Oyster ls","1305273","dict"
"16.78","Habilis uitzetijzer roestvaststaal kh 2635-31-81E","1305345","dict"
"16.78","Habiles uitzetijzer roestvaststaal/wit 2636-30-75","1305358","dict"
"16.78","Habiles uitzetijzer  roestvaststaal   2635-30-82","1305359","dict"
"\7.78","Habilis st.grijs kh 2635-31-50","1305362","dict"
"23.72","Axaflex  roestvaststaal/zwart  2640-10-82","1305380","dict"
"23.78","Axaflex  roestvaststaal/zwart  2640-20-81E","1305381","dict"
"23.78","Axaflex roestvaststaal/wit 2647-20-74E","1305412","dict"
"30.76","Axaflex rvs/wit gel2644-20-74","1305421","dict"
"30.76","Axaflex roestvaststaal/wit    2644-30-75","1305422","dict"
"43.14","Valdorpel met tijdvertraagde sluiting, 730mm lengte, 60 min. brandwerend, 51dB, groef 15x30mm","1475803","dict"
"43.75","Valdorpel met tijdvertraagde sluiting, 830mm lengte, 60 min. brandwerend, 51dB, groef 15x30mm","1475804","dict"
"44.37","Valdorpel met tijdvertraagde sluiting, 930mm lengte, 60 min. brandwerend, 51dB, groef 15x30mm","1475805","dict"
"45.00","Valdorpel met tijdvertraagde sluiting, 1030mm lengte, 60 min. brandwerend, 51dB, groef 15x30mm","1475806","dict"
"45.62","Valdorpel met tijdvertraagde sluiting, 1130mm lengte, 60 min. brandwerend, 51dB, groef 15x30mm","1475807","dict"
"46.21","Valdorpel met tijdvertraagde sluiting, 1230mm lengte, 60 min. brandwerend, 51dB, groef 15x30mm","1475808","dict"
"46.83","Valdorpel met tijdvertraagde sluiting, 1330mm lengte, 60 min. brandwerend, 51dB, groef 15x30mm","1475809","dict"
"47.43","Valdorpel met tijdvertraagde sluiting, 1430mm lengte, 60 min. brandwerend, 51dB, groef 15x30mm","1475810","dict"
"48.06","Valdorpel met tijdvertraagde sluiting, 1530mm lengte, 60 min. brandwerend, 51dB, groef 15x30mm","1475811","dict"
"\0.92","Berkvens sluitplaat berdo opdek","1417102","dict"
"\2.18","Kozijnbuffer wit 2mm   berkvens","1417105","dict"
"\8.83","BSW scharnier met afgeronde hoek  en veiligheidsnok 818 GV 89x102x3","1160001","dict"
"\9.72","BSW scharnier met afgeronde hoek  en veiligheidsnok 818 GV 89x152x3","1160002","dict"
"11.05","BSW scharnier met afgeronde hoek rd818std 89x89x3 roestvaststaal-","1160005","dict"
"14.57","BSW scharnier met afgeronde hoek en veiligheidsnok vrd818std 89x89x3 roestvaststaal","1160006","dict"
"20.88","BSW scharnier rd818bv 89x127x3 zwart rh","1160018","dict"
"\1.14","Bsw scharnierpen 818 gv 89mm","1160011","dict"
"20.90","BSW scharnier vrd818bv 89x80x3 zwart","1160015","dict"
"\7.91","Bsw kogelscharnier met afgeronde hoek b802 verzinkt 102x102mm","1160039","dict"
"\9.72","BSW 818 allround scharnier met afgeronde hoek  en veiligheidsnok 818 verzinkt 89x127x3mm.","1160043","dict"
"\9.22","BSW 818 allround scharnier met afgeronde hoek 818 verzinkt 89x127x3mm.","1160044","dict"
"22.24","BSW scharnier rd818std 89x152x3 mm roestvaststaal","1160045","dict"
"23.28","Bsw kogelstiftpaumelle rd 818 roestvaststaal std 89x127x3mm","1160050","dict"
"22.24","Bsw kogelstiftpaumelle rd818std roestvaststaal 89x127x3mm","1160051","dict"
"\3.13","BSW scharnier vrd1815gv 89x80x3 met afgeronde hoek, en veiligheidsnok verzinkt","1160055","dict"
"\3.23","BSW scharnier vrd1815gv 89x89x3 met afgeronde hoek, en veiligheidsnok verzinkt","1160060","dict"
"\9.11","BSW scharnier vrd1816gv 89x80x3 met afgeronde hoek, en veiligheidsnok verzinkt","1160065","dict"
"17.67","BSW scharnier V RD 818 std DD 89x80x3 RVS","1160080","dict"
"\5.89","BSW veiligheidsscharnier Protect 818, afgeronde hoek, verzinkt, 89x80mm, SKG**","1160092","dict"
"\5.55","BSW veiligheidsscharnier Protect 818, afgeronde hoek, verzinkt, 89x80mm, ongemonteerd, SKG**","1160093","dict"
"\3.91","BSW veiligheidsscharnier Protect 818, afgeronde hoek, verzinkt, 89x89mm, ongemonteerd, SKG**","1160095","dict"
"\8.71","BSW veiligheidsscharnier Protect 818, afgeronde hoek, verzinkt, 89x102mm, SKG**","1160096","dict"
"\9.99","BSW veiligheidsscharnier Protect 818, afgeronde hoek, verzinkt, 89x127mm, SKG**","1160097","dict"
"\9.99","BSW veiligheidsscharnier Protect 818, afgeronde hoek, verzinkt, 89x152mm, SKG**","1160098","dict"
"\9.49","BSW veiligheidsscharnier Protect 818, afgeronde hoek, accoya-proof, 89x80mm, SKG**","1160099","dict"
"20.87","Onzichtbaar scharnier, 3D, type Hide 130-60, afmeting 130x30mm, glans nikkel","1160122","dict"
"53.12","Onzichtbaar scharnier, 3D, type Hide 130-60, afmeting 130x30mm, kleur F1","1160124","dict"
"26.52","Onzichtbaar scharnier, 3D, type Hide 130-60, afmeting 130x30mm, kleur zwart","1160126","dict"
"27.93","Onzichtbaar scharnier, 3D, type Hide 130-70, afmeting 130x30mm, glans nikkel, brandwerend 30 minuten","1160131","dict"
"30.50","Onzichtbaar scharnier, 3D, type Hide 130-70, afmeting 130x30mm, kleur F1, brandwerend 30 minuten","1160133","dict"
"37.70","Onzichtbaar scharnier, 3D, type Hide 130-70, afmeting 130x30mm, kleur zwart, brandwerend 30 minuten","1160135","dict"
"36.43","Onzichtbaar scharnier, 3D, type Hide 130-70, afmeting 130x30mm, mat nikkel, brandwerend 30 minuten","1160137","dict"
"43.23","Onzichtbaar scharnier, 3D, type Hide 130-70, afmeting 130x30mm, inox look, brandwerend 30 minuten","1160139","dict"
"32.96","Onzichtbaar scharnier, 3D, type Hide 134-60, afmeting 134x24x21mm, glans nikkel","1160154","dict"
"42.73","Onzichtbaar scharnier, 3D, type Hide 130-70, afmeting 130x30mm, mat crhoom, brandwerend 30 minuten","1160140","dict"
"34.99","Onzichtbaar scharnier, 3D, type Hide 134-60, afmeting 134x24x21mm, kleur F1","1160156","dict"
"43.79","Onzichtbaar scharnier, 3D, type Hide 134-60, afmeting 134x24x21mm, kleur zwart","1160157","dict"
"41.53","Onzichtbaar scharnier, 3D, type Hide 134-60, afmeting 134x24x21mm, kleur mat nikkel","1160158","dict"
"49.44","Onzichtbaar scharnier, 3D, type Hide 134-60, afmeting 134x24x21mm, kleur inox look","1160159","dict"
"38.67","Onzichtbaar scharnier, 3D, type Hide 134-60, afmeting 134x24x21mm, kleur mat chroom","1160160","dict"
"39.36","Onzichtbaar scharnier, 3D, type Hide 160-120, afmeting 160x32mm, glans nikkel, brandwerend 120 minuten","1160161","dict"
"46.50","Onzichtbaar scharnier, 3D, type Hide 160-120, afmeting 160x32mm, kleur F1, brandwerend 120 minuten","1160163","dict"
"52.28","Onzichtbaar scharnier, 3D, type Hide 160-120, afmeting 160x32mm, mat nikkel, brandwerend 120 minuten","1160167","dict"
"51.18","Onzichtbaar scharnier, 3D, type Hide 160-120, afmeting 160x32mm, kleur zwart, brandwerend 120 minuten","1160165","dict"
"61.52","Onzichtbaar scharnier, 3D, type Hide 160-120, afmeting 160x32mm, inox look, brandwerend 120 minuten","1160169","dict"
"65.12","Onzichtbaar scharnier, 3D, type Hide 160-120, afmeting 160x32mm, mat chroom, brandwerend 120 minuten","1160170","dict"
"38.26","Loopslot met magneet 116-1/2 roestvaststaal","1210280","dict"
"50.02","Wc slot met magneet 116-1/2 8x78!! roestvaststaal","1210281","dict"
"52.57","D/n slot met magneet 116-1/2 pc72 roestvaststaal","1210282","dict"
"38.27","Abus cijferhangslot 180IB/50C","1382517","dict"
"104.58","DICTATOR Deurvastzetter, aluminium ZE-10, 105mm","1196457","dict"
"136.89","DICTATOR Deurvastzetter, aluminium ZE-160, slag t/m 160mm","1196459","dict"
"64.35","Deurvastzetter 60mm zilver ZE-60(ze14)","1197481","dict"
"89.98","Dictator 1000 nikkel met haak 1011","1197499","dict"
"89.98","Dictator 1000 nik. m/haak 1009","1197500","dict"
"101.54","Dictator 1100 nik. m/haak 1010","1197501","dict"
"94.36","Dictator 1200 nik. m/haak 1010","1197502","dict"
"107.27","Dictator 1400 chr. m/haak 20N 1015","1197504","dict"
"18.02","Deurveer Dictator 2500 Adjunct","1197525","dict"
"22.47","Deurveer 2600  piccolo","1197530","dict"
"93.16","DICTATOR Deuropvanger, hydraulisch Junior 140","1197565","dict"
"39.59","Deurvastzetter alum.ZE-11(ZE-25)","E230085","dict"
"86.07","Deurvastzetter alum.ZE-6 (ZE-75)","E230086","dict"
"93.67","Deurvastzetter alum.ZE-9 (ZE-90)","E230087","dict"
"329.02","Deursluiter DIREKT zwart, slag 200 mm, incl","E230156","dict"
"329.02","Deursluiter DIREKT zink, slag 200 mm, inclu","E230157","dict"
"473.49","Deursluiter DIREKT roestvaststaal, slag 200 mm, inclus","E230158","dict"
"162.95","Hawgood       m/vast geg 4242","1197536","dict"
"257.57","Hawgood roestvaststaal  4241  m/vaststell.","1197546","dict"
"62.62","Hawgood deurscharnieren nikkel 4000e m/vaststelling","1197567","dict"
"87.57","Hawgood deurscharnieren nikkel 4000d m/vaststelling","1197568","dict"
"62.62","Hawgood deurscharnieren nikkel 4500e m/vaststelling","1197569","dict"
"87.57","Hawgood deurscharnieren nikkel 4500d m/vaststelling","1197570","dict"
"70.49","Hawgood deurscharnieren messing 4000e m/vaststelling","1197571","dict"
"87.06","Hawgood deurscharnieren messing 4000d m/vaststelling","1197572","dict"
"70.49","Hawgood deurscharnieren messing 4500e m/vaststelling","1197573","dict"
"87.06","Hawgood deurscharnieren messing 4500d m/vaststelling","1197574","dict"
"14.82","Schuifdeurkom roestvaststaal recht 120x40 blind-","1216754","dict"
"23.86","Kierstandhouder roestvaststaal Tzunali SKG","1326111","dict"
"99.37","Sleutelkluis roestvaststaal Tzunali","1326113","dict"
"16.02","Leuninghouder rvs mat vlak mat m8","1326151","dict"
"16.17","Steigerbuis rvs AIS304 (A2), voor binnen gebruik,  lengte 1000mm, dia.28x2mm","1482397","dict"
"32.32","Steigerbuis rvs AIS304 (A2), voor binnen gebruik,  lengte 2000mm, dia.28x2mm","1482398","dict"
"58.62","Steigerbuis rvs AIS304 (A2), voor binnen gebruik,  lengte 3000mm, dia.28x2mm","1482399","dict"
"21.42","Steigerbuis rvs AIS304 (A2), voor binnen gebruik,  lengte 1000mm, dia.42,2x2mm","1482400","dict"
"26.50","Steigerbuis rvs AIS316 (A4), geschikt voor buiten gebruik,  lengte 1000mm, dia.28x2mm","1482404","dict"
"47.13","Steigerbuis rvs AIS304 (A2), voor binnen gebruik,  lengte 2000mm, dia.42,2x2mm","1482401","dict"
"58.08","Steigerbuis rvs AIS316 (A4), geschikt voor buiten gebruik,  lengte 2000mm, dia.28x2mm","1482405","dict"
"87.43","Steigerbuis rvs AIS316 (A4), geschikt voor buiten gebruik,  lengte 3000mm, dia.28x2mm","1482406","dict"
"34.36","Steigerbuis rvs AIS316 (A4), geschikt voor buiten gebruik,  lengte 1000mm, dia.42,4x2mm","1482407","dict"
"75.61","Steigerbuis rvs AIS316 (A4), geschikt voor buiten gebruik,  lengte 2000mm, dia.42,4x2mm","1482408","dict"
"103.09","Steigerbuis rvs AIS316 (A4), geschikt voor buiten gebruik,  lengte 3000mm, dia.42,4x2mm","1482409","dict"
"178.64","Sleutelkluis Tzunali RVS, SKG*** gecertificeerd, opbouwmontage, exclusief cilinder","1854128","dict"
"33.98","Loopslot met magneet roestvaststaal voorplaat inclusief sluitplaat","1192011","dict"
"41.13","D+N slot pc met magneet roestvaststaal voorplaat inclusief sluitplaat","1192015","dict"
"41.71","WC slot  met magneet roestvaststaal voorplaat inclusief sluitplaat","1192013","dict"
"220.22","Deurdranger TS 98 XEA RAL 9005","1190210","dict"
"99.53","Deurdranger TS 92 XEA B EN 1-4 z/arm Zilver","1190212","dict"
"336.68","Deurdranger TS 98 XEA RVS design ","1190211","dict"
"200.16","Deurdranger TS 92 XEA B EN 1-4 z/arm RVS Desi","1190214","dict"
"99.53","Deurdranger TS 92 XEA G EN 2-4 z/arm Zilver","1190215","dict"
"200.16","Deurdranger TS 92 XEA G EN 1-4 z/arm RVS Desi","1190217","dict"
"30.15","Glijarm G-N XEA RAL 9005","1190219","dict"
"68.10","Glijarm G-N XEA RVS design ","1190220","dict"
"255.35","Deurdranger TS 93 B EN 2-5 SV z/arm RVS desig","1190222","dict"
"255.35","Deurdranger TS 93 G EN 2-5 SV z/arm RVS desig","1190224","dict"
"200.16","Deurdranger TS 92 B EN 1-4 z/arm RVS Design","1190226","dict"
"200.16","Deurdranger TS 92 G EN 1-4 z/arm RVS Design","1190228","dict"
"65.16","Deurdranger TS 91 EN 3 z/arm Zilver","1190229","dict"
"65.16","Deurdranger TS 91 EN 3 z/arm Wit RAL 9016","1190230","dict"
"29.55","Glijarm G-N Contur Wit RAL 9016","1190232","dict"
"60.61","Glijarm G-N Contur RVS design","1190234","dict"
"66.05","Deurdranger TS 90-Impulse EN 3-4 RAL 9016","1190236","dict"
"233.74","Deurdranger contur ts93 g en5-7 z/arm","1190242","dict"
"214.87","Glijarm zilver 24v dc g-emf","1190405","dict"
"\2.38","Dorma inbusboutje v.glijblokje TS92/93","1190756","dict"
"52.41","DORMA Glijarm G 96 N 20 voor ITS96 din rechts","1190141","dict"
"\5.20","Kogelinkscharnier dx verzinkt afgeronde hoeken  89x89mmx3","1169045","dict"
"\5.42","Kogelinkscharnier dx verzinktafgeronde hoeken  veiligheid 89x89mmx3","1169046","dict"
"\4.59","Kogelinkscharnier dx roestvaststaal afgeronde hoeken    76x76mm","1169050","dict"
"\4.67","Kogelinkscharnier dx roestvaststaal       89x89mm","1169063","dict"
"\6.95","Kogelinkscharnier dx roestvaststaal veiligheid  89x89mmx3","1169064","dict"
"\4.60","Kogelscharn.dx re-hk rvs 76x76","1169066","dict"
"\6.26","Kogelinkscharnier dx roestvaststaal afgeronde hoeken    89x89mmx3","1169091","dict"
"\4.48","Kogelinkscharnier dx roestvaststaal afgeronde hoeken    89x89mm-","1169096","dict"
"\6.79","Kogelinkscharnier dx roestvaststaal afgeronde hoeken  veiligheid 89x89mmx3","1169097","dict"
"52.65","Kantschuif vermessing  150x25 7550pl","1169251","dict"
"61.25","Kantschuif messing  225x25 7550pl","1169253","dict"
"51.59","Kantschuif aluminium  150x25 7550as","1169243","dict"
"60.05","Kantschuif aluminium  225x25 7550as","1169259","dict"
"25.19","Tonrolsnapper roestvaststaal          50mm","1169288","dict"
"10.22","Raamuitzetter 300mm. roestvaststaal/grijs","1255150","dict"
"16.21","Raamuitzetter wegdr.baar   roestvaststaal","1255170","dict"
"31.58","Fischer Fixtainer Duopower (zonder schroeven)","1138951","dict"
"39.12","Fischer Fixtainer Duopower (met schroeven)","1138952","dict"
"23.98","Fischer Fixtainer SX plug (zonder schroeven)","1138953","dict"
"25.18","Fischer Fixtainer SX plug (met schroeven)","1138954","dict"
"35.11","Fischer Fixtainer Duopower en Duotec","1138955","dict"
"30.81","Fischer Fixtainer Duopower kort / lang","1138956","dict"
"20.05","Fischer Profibox Duopower met schroeven","1138957","dict"
"15.28","Fischer Profibox Duopower zonder schroeven","1138958","dict"
"27.96","Fischer Masterbox GK met schroef/schroefhaak","1138959","dict"
"28.06","Fischer RedBox Duopower pluggen z.schroeven","1138960","dict"
"\6.20","Fischer plug SX4x20    2-3mm","1137479","dict"
"28.84","Fischer Tuimelplug met haak verzinkt KDH 4","1137660","dict"
"32.66","Holle wandplug hm 4x32","1137781","dict"
"41.36","Holle wandplug   hm 5x65s","1137783","dict"
"\8.57","Fischer plug ux8 DHZ","1138631","dict"
"\7.79","Fischer plug ux10 DHZ","1138632","dict"
"\6.38","Fischer plug ux6r DHZ","1138635","dict"
"\7.83","Fischer plug ux10r DHZ","1138637","dict"
"12.49","Fischer universeelplug ux 6x50r","1138649","dict"
"\1.63","Fischer duotec hollew.plug 12","1138896","dict"
"\4.59","Fischer plug Duopower 5x25mm","1138901","dict"
"\7.36","Fischer plug Duopower 6x30mm","1138902","dict"
"10.14","Fischer plug Duopower 8x40mm","1138903","dict"
"\9.86","Fischer plug Duopower 10x50mm","1138904","dict"
"13.04","Fischer plug Duopower 6x50mm","1138915","dict"
"\8.70","Fischer plug Duopower 8x65mm","1138916","dict"
"\8.02","Fischer plug Duopower 10x80mm","1138917","dict"
"\7.32","Fischer plug Duopower 12x60mm","1138918","dict"
"12.14","Fischer plug Duopower 14x70mm","1138919","dict"
"\9.12","Fischer plug Duopower 5x25mm met schroef","1138921","dict"
"10.48","Fischer plug Duopower 6x30mm met schroef","1138922","dict"
"16.40","Fischer plug Duopower 10x50mm met schroef","1138924","dict"
"15.62","Fischer plug Duopower 8x40mm met schroef","1138923","dict"
"22.14","Fischer plug Duopower 6x50mm met schroef","1138935","dict"
"15.32","Fischer plug Duopower 8x65mm met schroef","1138936","dict"
"11.11","Fischer plug Duopower 10x80mm met schroef","1138937","dict"
"10.49","Fischer plug Duopower 12x60mm met schroef","1138938","dict"
"15.36","Fischer plug Duopower 14x70mm met schroef","1138939","dict"
"20.79","Gipsplaatplug Duoblade zelfb.44x50mm","1138941","dict"
"17.89","Gipsplaatplug Duoblade zelfb.m.schr.44x50mm","1138942","dict"
"\3.55","Bevestigingset rozetten ASL t.b.v. deurdikte 39-58mm voor draaigarnituren","1192200","dict"
"\3.55","Bevestigingset rozetten ASL t.b.v. deurdikte 59-78mm voor draaigarnituren","1192201","dict"
"\3.90","Bevestigingset kortschilden ASL t.b.v. deurdikte 59-78mm voor draaigarnituren","1192203","dict"
"\3.90","Bevestigingset langschilden ASL t.b.v. deurdikte 39-58mm voor draaigarnituren","1192204","dict"
"\3.90","Bevestigingset langschilden ASL t.b.v. deurdikte 59-78mm voor draaigarnituren","1192205","dict"
"\3.55","Bevestigingset rozetten ASL t.b.v. deurdikte 39-58mm voor wisselgarnituren","1192206","dict"
"\3.55","Bevestigingset rozetten ASL t.b.v. deurdikte 59-78mm voor wisselgarnituren","1192207","dict"
"\3.90","Bevestigingset kortschilden ASL t.b.v. deurdikte 39-58mm voor wisselgarnituren","1192208","dict"
"\3.90","Bevestigingset langschilden ASL t.b.v. deurdikte 39-58mm voor wisselgarnituren","1192210","dict"
"\3.90","Bevestigingset kortschilden ASL t.b.v. deurdikte 59-78mm voor wisselgarnituren","1192209","dict"
"\3.90","Bevestigingset langschilden ASL t.b.v. deurdikte 59-78mm voor wisselgarnituren","1192211","dict"
"\3.55","Bevestigingset rozetten ASL t.b.v. deurdikte 39-58mm voor toilet-/badkamergarnituren","1192212","dict"
"\3.55","Bevestigingset rozetten ASL t.b.v. deurdikte 59-78mm voor toilet-/badkamergarnituren","1192213","dict"
"\3.90","Bevestigingset kortschilden ASL t.b.v. deurdikte 39-58mm voor toilet-/badkamergarnituren","1192214","dict"
"\3.90","Bevestigingset kortschilden ASL t.b.v. deurdikte 59-78mm voor toilet-/badkamergarnituren","1192215","dict"
"\3.90","Bevestigingset langschilden ASL t.b.v. deurdikte 39-58mm voor toilet-/badkamergarnituren","1192216","dict"
