" and the ","en de "
"Enter your new password here","Vul hier je nieuwe wachtwoord in"
"Confirm your new password here","Bevestig hier je nieuwe wachtwoord in"
"Change your number and press update","Wijzig je aantal en druk daarna op update"
"optional","optioneel"
"Grand Total Incl. btw","Totaal incl. btw"
"I choose to pay an extra %s to receive my order today","Ik wil voor %s extra mijn bestelling vandaag ontvangen"
"In <span>%s hours en %s minutes</span> this option will pass","Je hebt nog <span>%s uur en %s minuten </span>"
"Extra shipmentcost","Extra verzendkosten"
"Standard Shipping","Standaard verzending"
"In <span>%s minutes</span> this option will pass","Je hebt nog <span> %s minuten </span>"
"Password length should be 6 character.","Wachtwoordlengte moet 6 tekens zijn."
"Password should be match.","Wachtwoord moet overeenkomen."
"Checkout as","Snel afrekenen?"
"Calculate without account","Reken af zonder account"
"Create a new account","Maak een nieuw account aan"
"privacy statement","privacy verklaring"
