"The list of controllers/routes that should be marked by MageBoost as cacheable object for Varnish, in <b>&lt;controller_name&gt;;&lt;ttl_in_seconds&gt;</b> format, separated with commas or enters/newlines.","The list of controllers/routes that should be marked by MageBoost as cacheable object for Varnish, in <b>&lt;controller_name&gt;;&lt;ttl_in_seconds&gt;</b> format, separated with commas or enters/newlines."
"Use POST instead of GET","Use POST instead of GET"
"Perform all asynchronous calls to the MageBoost plugin using POST request instead of GET to prevent problems with URL-encoded data.","Perform all asynchronous calls to the MageBoost plugin using POST request instead of GET to prevent problems with URL-encoded data."
"Use HTML5 local storage inline","Use HTML5 local storage inline"
"Load the HTML5 local cache inline (do not wait for dom:ready but use any available local storage data first).","Load the HTML5 local cache inline (do not wait for dom:ready but use any available local storage data first)."
"Enable split hosted setup","Enable split hosted setup"
"Enable distributed cache purging for distributed setup.","Enable distributed cache purging for distributed setup."
"Frontend manageCache URL","Frontend manageCache URL"
"URL of the manageCache script.","URL of the manageCache script."
"Disable generic flush all","Disable generic flush all"
"Disabled flushing the entire Varnish cache automatically for certain actions. Use this when you're about to do a huge import and want to flush manually afterwards.","Disabled flushing the entire Varnish cache automatically for certain actions. Use this when you're about to do a huge import and want to flush manually afterwards."
"Disable cache flushing","Disable cache flushing"
"Disabled Varnish flushing completely.","Disabled Varnish flushing completely."
"Flush frontpage on change","Flush frontpage on change"
"Flush the frontpage when data changes, use if there is any product/category data on the frontpage.","Flush the frontpage when data changes, use if there is any product/category data on the frontpage."
"Enable extra headers","Enable extra headers"
"Enable category ID and product ID being added to the response header for specific flush actions.","Enable category ID and product ID being added to the response header for specific flush actions."
"Header value separator","Header value separator"
"The header separator character for Varnish which MageBoost uses to wrap category and product IDs in.","The header separator character for Varnish which MageBoost uses to wrap category and product ID's in."
"Enable logging of cache purges","Enable logging of cache purges"
"Keep a log of cache purges for debugging purposes (not recommended for production environments).","Keep a log of cache purges for debugging purposes (not recommended for production environments)."
"Pagination page URL pattern","Pagination page URL pattern"
"The pattern of URLs being created for pagination following the category url","The pattern of URLs being created for pagination following the category url"
"Pagination 'show all' URL pattern","Pagination 'show all' URL pattern"
"The pattern of URLs being created for the 'show all' option following the category url.","The pattern of URLs being created for the 'show all' option following the category url."
"Limit pagination precaching","Limit pagination precaching"
"Limit the number of pages in pagination being precached.","Limit the number of pages in pagination being precached."
"Pagination precache limit","Pagination precache limit"
"If the pagination precache limit is enabled, you can specify the number of pages in pagination being precached here.","If the pagination precache limit is enabled, you can specify the number of pages in pagination being precached here."
"Cache the crawlmap","Cache the crawlmap"
"If enabled, the crawlmap will be cached.","If enabled, the crawlmap will be cached."
"Crawlmap Cache TTL","Crawlmap Cache TTL"
"Time-To-Live of the crawlmap cache in hours. After this the crawlmap will be refreshed.","Time-To-Live of the crawlmap cache in hours. After this, the crawlmap will be refreshed."
"Use database precaching log","Use database precaching log"
"Keep a database log of cache purges for precaching purposes.","Keep a database log of cache purges for precaching purposes."
"Please note: Varnish caching is disabled.","Please note: Varnish caching is disabled."
"Please note: MageBoost is disabled.","Please note: MageBoost is disabled."
"Please note: Full Varnish purging is disabled.","Please note: Full Varnish purging is disabled."
